Variable 1,Variable 2,Chi-Square,P-Value
Địa chỉ,Quận,25764.3885141639,0.0
Địa chỉ,Loại hình nhà ở,6512.273397803308,9.849582913205762e-71
Địa chỉ,Giấy tờ pháp lý,4400.723353571968,9.662509979825034e-52
Địa chỉ,Số tầng,20101.033778650315,0.1768075642616687
Địa chỉ,Số phòng ngủ,16225.957642831949,1.8794111248616852e-07
Địa chỉ,Giá/m2,3107197.0501179034,0.0
Quận,Loại hình nhà ở,114.79991539272312,1.9206952722230673e-17
Quận,Giấy tờ pháp lý,22.232320930963095,0.013963840606394688
Quận,Số tầng,422.3079192416435,8.42791388755419e-54
Quận,Số phòng ngủ,404.3335709788683,6.294615870470241e-57
Quận,Giá/m2,11667.296336184292,8.305949800677385e-44
Loại hình nhà ở,Giấy tờ pháp lý,34.23897093008024,6.049011921911722e-06
Loại hình nhà ở,Số tầng,244.96691789280612,1.156294205778836e-31
Loại hình nhà ở,Số phòng ngủ,323.8605042200451,5.0555201859788666e-51
Loại hình nhà ở,Giá/m2,8170.207407210476,1.0086672868677475e-87
Giấy tờ pháp lý,Số tầng,42.00074050880109,0.02454467738483178
Giấy tờ pháp lý,Số phòng ngủ,66.21901562876523,7.451807766842347e-07
Giấy tờ pháp lý,Giá/m2,5153.62417668148,1.0606835635646072e-41
Số tầng,Số phòng ngủ,5622.610033870962,0.0
Số tầng,Giá/m2,43051.996455565335,0.0
Số phòng ngủ,Giá/m2,24685.88208988957,7.974977421446261e-144
